STATE/UT,Year,CAUSE,Total Male,Total Female,Total
ANDHRA PRADESH,2001,House Wife,0,2444,2444
ANDHRA PRADESH,2001,Service (Government),135,61,196
ANDHRA PRADESH,2001,Service (Private),674,106,780
ANDHRA PRADESH,2001,Public Sector Undertaking,110,10,120
ANDHRA PRADESH,2001,Student,295,175,470
ANDHRA PRADESH,2001,Unemployed,543,78,621
ANDHRA PRADESH,2001,Self-employed (Business activity),486,82,568
ANDHRA PRADESH,2001,Professional Activity,390,41,431
ANDHRA PRADESH,2001,Farming/Agriculture Activity,1331,178,1509
ANDHRA PRADESH,2001,Others (Please Specify),1029,498,1527
ANDHRA PRADESH,2001,Retired Person,21,5,26
ANDHRA PRADESH,2001,Others (Please Specify),1365,465,1830
ANDHRA PRADESH,2001,Total,6379,4143,10522
ANDHRA PRADESH,2001,Total Salaried,919,177,1096
ANDHRA PRADESH,2001,Total Self-employed,3236,799,4035
ANDHRA PRADESH,2002,House Wife,0,2192,2192
ANDHRA PRADESH,2002,Service (Government),100,21,121
ANDHRA PRADESH,2002,Service (Private),629,87,716
ANDHRA PRADESH,2002,Public Sector Undertaking,127,34,161
ANDHRA PRADESH,2002,Student,303,208,511
ANDHRA PRADESH,2002,Unemployed,674,169,843
ANDHRA PRADESH,2002,Self-employed (Business activity),708,89,797
ANDHRA PRADESH,2002,Professional Activity,372,54,426
ANDHRA PRADESH,2002,Farming/Agriculture Activity,1629,267,1896
ANDHRA PRADESH,2002,Others (Please Specify),1144,352,1496
ANDHRA PRADESH,2002,Retired Person,36,0,36
ANDHRA PRADESH,2002,Others (Please Specify),1849,649,2498
ANDHRA PRADESH,2002,Total,7571,4122,11693
ANDHRA PRADESH,2002,Total Salaried,856,142,998
ANDHRA PRADESH,2002,Total Self-employed,3853,762,4615
ANDHRA PRADESH,2003,House Wife,0,1929,1929
ANDHRA PRADESH,2003,Service (Government),250,36,286
ANDHRA PRADESH,2003,Service (Private),369,103,472
ANDHRA PRADESH,2003,Public Sector Undertaking,121,55,176
ANDHRA PRADESH,2003,Student,348,221,569
ANDHRA PRADESH,2003,Unemployed,648,78,726
ANDHRA PRADESH,2003,Self-employed (Business activity),596,108,704
ANDHRA PRADESH,2003,Professional Activity,390,27,417
ANDHRA PRADESH,2003,Farming/Agriculture Activity,1442,358,1800
ANDHRA PRADESH,2003,Others (Please Specify),1197,315,1512
ANDHRA PRADESH,2003,Retired Person,77,52,129
ANDHRA PRADESH,2003,Others (Please Specify),2075,614,2689
ANDHRA PRADESH,2003,Total,7513,3896,11409
ANDHRA PRADESH,2003,Total Salaried,740,194,934
ANDHRA PRADESH,2003,Total Self-employed,3625,808,4433
ANDHRA PRADESH,2004,House Wife,0,2315,2315
ANDHRA PRADESH,2004,Service (Government),300,14,314
