STATE/UT,Year,Total
A & N ISLANDS,2001,333
A & N ISLANDS,2002,372
A & N ISLANDS,2003,287
A & N ISLANDS,2004,311
A & N ISLANDS,2005,361
A & N ISLANDS,2006,350
A & N ISLANDS,2007,385
A & N ISLANDS,2008,365
A & N ISLANDS,2009,350
A & N ISLANDS,2010,397
A & N ISLANDS,2011,350
A & N ISLANDS,2012,320
ANDHRA PRADESH,2001,26175
ANDHRA PRADESH,2002,28999
ANDHRA PRADESH,2003,28185
ANDHRA PRADESH,2004,34040
ANDHRA PRADESH,2005,33555
ANDHRA PRADESH,2006,34210
ANDHRA PRADESH,2007,38037
ANDHRA PRADESH,2008,36909
ANDHRA PRADESH,2009,37976
ANDHRA PRADESH,2010,41604
ANDHRA PRADESH,2011,39248
ANDHRA PRADESH,2012,37419
ARUNACHAL PRADESH,2001,306
ARUNACHAL PRADESH,2002,299
ARUNACHAL PRADESH,2003,217
ARUNACHAL PRADESH,2004,205
ARUNACHAL PRADESH,2005,194
ARUNACHAL PRADESH,2006,340
ARUNACHAL PRADESH,2007,327
ARUNACHAL PRADESH,2008,297
ARUNACHAL PRADESH,2009,297
ARUNACHAL PRADESH,2010,317
ARUNACHAL PRADESH,2011,348
ARUNACHAL PRADESH,2012,333
ASSAM,2001,6611
ASSAM,2002,6333
ASSAM,2003,6604
ASSAM,2004,7295
ASSAM,2005,7393
ASSAM,2006,7948
ASSAM,2007,8101
ASSAM,2008,7752
ASSAM,2009,7790
ASSAM,2010,7955
ASSAM,2011,7050
ASSAM,2012,8802
BIHAR,2001,1358
BIHAR,2002,1649
BIHAR,2003,1395
BIHAR,2004,789
BIHAR,2005,1244
BIHAR,2006,1418
BIHAR,2007,2281
BIHAR,2008,2294
BIHAR,2009,2419
BIHAR,2010,2955
BIHAR,2011,1812
BIHAR,2012,1684
CHANDIGARH,2001,158
CHANDIGARH,2002,191
CHANDIGARH,2003,244
CHANDIGARH,2004,182
CHANDIGARH,2005,228
CHANDIGARH,2006,184
CHANDIGARH,2007,194
CHANDIGARH,2008,196
CHANDIGARH,2009,180
CHANDIGARH,2010,170
CHANDIGARH,2011,257
CHANDIGARH,2012,291
CHHATTISGARH,2001,10574
CHHATTISGARH,2002,10127
CHHATTISGARH,2003,9917
CHHATTISGARH,2004,11491
CHHATTISGARH,2005,12322
CHHATTISGARH,2006,11804
CHHATTISGARH,2007,12474
CHHATTISGARH,2008,12995
CHHATTISGARH,2009,15033
CHHATTISGARH,2010,16511
CHHATTISGARH,2011,17098
CHHATTISGARH,2012,13959
D & N HAVELI,2001,127
D & N HAVELI,2002,131
D & N HAVELI,2003,132
D & N HAVELI,2004,96
D & N HAVELI,2005,158
D & N HAVELI,2006,100
D & N HAVELI,2007,179
D & N HAVELI,2008,151
D & N HAVELI,2009,143
D & N HAVELI,2010,150
D & N HAVELI,2011,171
D & N HAVELI,2012,169
DAMAN & DIU,2001,38
DAMAN & DIU,2002,45
DAMAN & DIU,2003,57
DAMAN & DIU,2004,31
DAMAN & DIU,2005,82
DAMAN & DIU,2006,55
DAMAN & DIU,2007,37
DAMAN & DIU,2008,49
DAMAN & DIU,2009,54
DAMAN & DIU,2010,74
DAMAN & DIU,2011,83
DAMAN & DIU,2012,81
DELHI (UT),2001,3012
DELHI (UT),2002,2503
DELHI (UT),2003,2673
DELHI (UT),2004,2986
DELHI (UT),2005,2893
DELHI (UT),2006,3600
DELHI (UT),2007,3478
DELHI (UT),2008,3087
DELHI (UT),2009,3412
DELHI (UT),2010,3629
DELHI (UT),2011,3975
DELHI (UT),2012,4411
GOA,2001,615
GOA,2002,733
GOA,2003,738
GOA,2004,731
GOA,2005,664
GOA,2006,634
GOA,2007,631
GOA,2008,669
GOA,2009,657
GOA,2010,770
GOA,2011,666
GOA,2012,689
GUJARAT,2001,11793
GUJARAT,2002,11380
GUJARAT,2003,11282
GUJARAT,2004,11826
GUJARAT,2005,11838
GUJARAT,2006,12423
GUJARAT,2007,13721
GUJARAT,2008,15108
GUJARAT,2009,15314
GUJARAT,2010,15271
GUJARAT,2011,15929
GUJARAT,2012,17590
HARYANA,2001,4745
HARYANA,2002,5311
HARYANA,2003,5465
HARYANA,2004,5014
HARYANA,2005,4761
HARYANA,2006,5715
HARYANA,2007,5765
HARYANA,2008,6136
HARYANA,2009,5923
HARYANA,2010,7103
HARYANA,2011,7537
HARYANA,2012,7134
HIMACHAL PRADESH,2001,709
HIMACHAL PRADESH,2002,785
HIMACHAL PRADESH,2003,919
HIMACHAL PRADESH,2004,913
HIMACHAL PRADESH,2005,881
HIMACHAL PRADESH,2006,1079
HIMACHAL PRADESH,2007,1022
HIMACHAL PRADESH,2008,1671
HIMACHAL PRADESH,2009,1305
HIMACHAL PRADESH,2010,1336
HIMACHAL PRADESH,2011,1106
HIMACHAL PRADESH,2012,1255
JAMMU & KASHMIR,2001,349
JAMMU & KASHMIR,2002,446
JAMMU & KASHMIR,2003,296
JAMMU & KASHMIR,2004,245
JAMMU & KASHMIR,2005,703
JAMMU & KASHMIR,2006,643
JAMMU & KASHMIR,2007,556
JAMMU & KASHMIR,2008,747
JAMMU & KASHMIR,2009,783
JAMMU & KASHMIR,2010,590
JAMMU & KASHMIR,2011,673
JAMMU & KASHMIR,2012,932
JHARKHAND,2001,596
JHARKHAND,2002,638
JHARKHAND,2003,638
JHARKHAND,2004,928
JHARKHAND,2005,1932
JHARKHAND,2006,2001
JHARKHAND,2007,3011
JHARKHAND,2008,2159
JHARKHAND,2009,2711
JHARKHAND,2010,2996
JHARKHAND,2011,2847
