STATE/UT,Year,Total Male,Total Female,Total
A & N ISLANDS,2001,232,101,333
A & N ISLANDS,2002,265,107,372
A & N ISLANDS,2003,200,87,287
A & N ISLANDS,2004,225,86,311
A & N ISLANDS,2005,250,111,361
A & N ISLANDS,2006,275,75,350
A & N ISLANDS,2007,271,114,385
A & N ISLANDS,2008,274,91,365
A & N ISLANDS,2009,254,96,350
A & N ISLANDS,2010,306,91,397
A & N ISLANDS,2011,249,101,350
A & N ISLANDS,2012,231,89,320
ANDHRA PRADESH,2001,16913,9262,26175
ANDHRA PRADESH,2002,19851,9148,28999
ANDHRA PRADESH,2003,19391,8794,28185
ANDHRA PRADESH,2004,24072,9968,34040
ANDHRA PRADESH,2005,23102,10453,33555
ANDHRA PRADESH,2006,23892,10318,34210
ANDHRA PRADESH,2007,26747,11290,38037
ANDHRA PRADESH,2008,26284,10625,36909
ANDHRA PRADESH,2009,27374,10602,37976
ANDHRA PRADESH,2010,30253,11351,41604
ANDHRA PRADESH,2011,27610,11638,39248
ANDHRA PRADESH,2012,26386,11033,37419
ARUNACHAL PRADESH,2001,222,84,306
ARUNACHAL PRADESH,2002,206,93,299
ARUNACHAL PRADESH,2003,158,59,217
ARUNACHAL PRADESH,2004,140,65,205
ARUNACHAL PRADESH,2005,142,52,194
ARUNACHAL PRADESH,2006,270,70,340
ARUNACHAL PRADESH,2007,258,69,327
ARUNACHAL PRADESH,2008,216,81,297
ARUNACHAL PRADESH,2009,216,81,297
ARUNACHAL PRADESH,2010,236,81,317
ARUNACHAL PRADESH,2011,272,76,348
ARUNACHAL PRADESH,2012,265,68,333
ASSAM,2001,4779,1832,6611
ASSAM,2002,4527,1806,6333
ASSAM,2003,4494,2110,6604
ASSAM,2004,5278,2017,7295
ASSAM,2005,5390,2003,7393
ASSAM,2006,5934,2014,7948
ASSAM,2007,5991,2110,8101
ASSAM,2008,5498,2254,7752
ASSAM,2009,5268,2522,7790
ASSAM,2010,5649,2306,7955
ASSAM,2011,5053,1997,7050
ASSAM,2012,6781,2021,8802
BIHAR,2001,741,617,1358
BIHAR,2002,1023,626,1649
BIHAR,2003,860,535,1395
BIHAR,2004,502,287,789
BIHAR,2005,793,451,1244
BIHAR,2006,720,698,1418
BIHAR,2007,1341,940,2281
BIHAR,2008,1408,886,2294
BIHAR,2009,1288,1131,2419
BIHAR,2010,1852,1103,2955
BIHAR,2011,1046,766,1812
BIHAR,2012,1055,629,1684
CHANDIGARH,2001,96,62,158
CHANDIGARH,2002,122,69,191
CHANDIGARH,2003,173,71,244
CHANDIGARH,2004,135,47,182
CHANDIGARH,2005,170,58,228
CHANDIGARH,2006,134,50,184
CHANDIGARH,2007,149,45,194
CHANDIGARH,2008,143,53,196
CHANDIGARH,2009,117,63,180
CHANDIGARH,2010,83,87,170
CHANDIGARH,2011,157,100,257
CHANDIGARH,2012,208,83,291
CHHATTISGARH,2001,7309,3265,10574
CHHATTISGARH,2002,7069,3058,10127
CHHATTISGARH,2003,6863,3054,9917
CHHATTISGARH,2004,8090,3401,11491
CHHATTISGARH,2005,8767,3555,12322
CHHATTISGARH,2006,8209,3595,11804
CHHATTISGARH,2007,8790,3684,12474
CHHATTISGARH,2008,9114,3881,12995
CHHATTISGARH,2009,10551,4482,15033
CHHATTISGARH,2010,11869,4642,16511
CHHATTISGARH,2011,11809,5289,17098
CHHATTISGARH,2012,10294,3665,13959
D & N HAVELI,2001,96,31,127
D & N HAVELI,2002,95,36,131
D & N HAVELI,2003,88,44,132
D & N HAVELI,2004,57,39,96
D & N HAVELI,2005,99,59,158
D & N HAVELI,2006,62,38,100
D & N HAVELI,2007,115,64,179
D & N HAVELI,2008,91,60,151
D & N HAVELI,2009,88,55,143
D & N HAVELI,2010,98,52,150
D & N HAVELI,2011,120,51,171
D & N HAVELI,2012,117,52,169
DAMAN & DIU,2001,29,9,38
DAMAN & DIU,2002,41,4,45
DAMAN & DIU,2003,45,12,57
DAMAN & DIU,2004,13,18,31
DAMAN & DIU,2005,68,14,82
DAMAN & DIU,2006,39,16,55
DAMAN & DIU,2007,18,19,37
DAMAN & DIU,2008,39,10,49
DAMAN & DIU,2009,36,18,54
DAMAN & DIU,2010,49,25,74
DAMAN & DIU,2011,50,33,83
DAMAN & DIU,2012,59,22,81
DELHI (UT),2001,1891,1121,3012
DELHI (UT),2002,1619,884,2503
DELHI (UT),2003,1788,885,2673
DELHI (UT),2004,2018,968,2986
DELHI (UT),2005,1909,984,2893
DELHI (UT),2006,2457,1143,3600
DELHI (UT),2007,2380,1098,3478
DELHI (UT),2008,2013,1074,3087
DELHI (UT),2009,2274,1138,3412
DELHI (UT),2010,2397,1232,3629
DELHI (UT),2011,2812,1163,3975
DELHI (UT),2012,3057,1354,4411
GOA,2001,425,190,615
GOA,2002,554,179,733
GOA,2003,548,190,738
GOA,2004,510,221,731
GOA,2005,485,179,664
GOA,2006,445,189,634
GOA,2007,435,196,631
GOA,2008,451,218,669
GOA,2009,451,206,657
GOA,2010,595,175,770
GOA,2011,461,205,666
GOA,2012,493,196,689
GUJARAT,2001,7236,4557,11793
GUJARAT,2002,7274,4106,11380
GUJARAT,2003,7173,4109,11282
GUJARAT,2004,7680,4146,11826
GUJARAT,2005,7870,3968,11838
GUJARAT,2006,8158,4265,12423
GUJARAT,2007,9058,4663,13721
GUJARAT,2008,9948,5160,15108
GUJARAT,2009,9947,5367,15314
GUJARAT,2010,10095,5176,15271
GUJARAT,2011,10532,5397,15929
GUJARAT,2012,11624,5966,17590
HARYANA,2001,3322,1423,4745
HARYANA,2002,3936,1375,5311
HARYANA,2003,4085,1380,5465
HARYANA,2004,3639,1375,5014
HARYANA,2005,3601,1160,4761
HARYANA,2006,4492,1223,5715
HARYANA,2007,4510,1255,5765
HARYANA,2008,4730,1406,6136
HARYANA,2009,4493,1430,5923
HARYANA,2010,5526,1577,7103
HARYANA,2011,5891,1646,7537
HARYANA,2012,5440,1694,7134
